"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YBL027W",1156.35591950666,1.47441211501849,0.474906100746118,3.10463923858224,0.00190511234855063,0.0412110439397838
"YHR196W",27.8991913228607,2.05769063674488,0.66236715622204,3.1065710571783,0.00189270814463882,0.0412110439397838
"YJR145C",1602.7814981448,1.52424854413597,0.490895469587855,3.10503689393528,0.00190255291829218,0.0412110439397838
"YDR418W",907.253219690621,1.50527036928742,0.485685155316623,3.09927193122903,0.00193996873616294,0.0412642588553375
"YER102W",1062.27669548234,1.49838308457701,0.482989742018027,3.10230829813583,0.00192017868643612,0.0412642588553375
"YKL026C",50.0739071219004,-1.79609657164363,0.579383555876138,-3.10001302837737,0.00193512130545276,0.0412642588553375
"YOR185C",89.7279863497836,-1.42833700786253,0.460914017546,-3.09892290858779,0.00194225551241765,0.0412642588553375
"YBR084C-A",988.201690888543,1.44286443418694,0.466762264564745,3.09121911457948,0.00199336477754456,0.0420486944159542
"YER074W",769.252495624065,1.54348567114164,0.499608676342702,3.08938924447922,0.00200568473049414,0.0420486944159542
"YNL301C",110.646501637469,1.43860231012007,0.465511902054453,3.09036633385969,0.0019990976202652,0.0420486944159542
"YLR441C",1130.52501821552,1.43154647299722,0.463760771866047,3.08682096425937,0.00202309405936204,0.0422276518794032
"YDL191W",471.841008356452,1.48948213065151,0.483774736137503,3.07887539259214,0.00207783569595411,0.042475047459267
"YDR471W",330.910634959,1.47987380262354,0.480765103653976,3.07816393364661,0.0020828030379264,0.042475047459267
"YGR200C",80.230217821929,1.43952487695516,0.468170956481702,3.0747846636476,0.00210654586835826,0.042475047459267
"YKL172W",87.5051569030843,1.54485968280243,0.501227114011988,3.08215505429636,0.00205507759908702,0.042475047459267
"YKL001C",42.3567667406128,-2.47572406970434,0.803482899767585,-3.08124052225687,0.00206140058035482,0.042475047459267
"YLR340W",2489.64051707624,1.47869343922649,0.481102579095992,3.07355126219653,0.00211527342883931,0.042475047459267
"YLR388W",158.448219655902,1.45396731296098,0.472713264872203,3.0757912269588,0.00209944790297981,0.042475047459267
"YPL226W",123.411805615269,1.33642319673633,0.433774713304387,3.08091540550114,0.00206365270113498,0.042475047459267
"YPL126W",68.8505947207195,1.49101754688443,0.484634658746679,3.07658051271111,0.00209389746111628,0.042475047459267
"YOR273C",305.581444091516,1.25085838800204,0.407335996352523,3.07082703027185,0.00213466774392797,0.042684385686358
"YML073C",645.532680756687,1.42996506193238,0.467328459948465,3.05987155605732,0.0022143193364732,0.0439390746785729
