"","logFC","logCPM","PValue","FDR"
"YHR196W",2.04156591551763,5.33142443675248,0.000423422767234862,0.00743769891132752
"YPR167C",-2.25358745961099,5.21527922714531,0.000425180038620284,0.00744350423316115
"YFR053C",-1.52047778660464,12.2901305824447,0.000431848648262384,0.00752916864391909
"YKL026C",-1.80961256042312,6.12546758927323,0.000434104089462631,0.00752916864391909
"YBR251W",-1.02998180157558,5.86316137502782,0.000434402867897191,0.00752916864391909
"YER175C",-2.81438391557597,6.63339277213165,0.000448910597477812,0.00775485624848261
"YER127W",1.73918411471963,5.20660543445655,0.000451420457035934,0.00777247697807414
"YMR309C",0.996870422090714,7.15333520056536,0.000454489280177214,0.007782017497735
"YCR069W",-0.958127339403891,7.03521143110383,0.00045495789473053,0.007782017497735
"YDL031W",1.24063397898109,6.69924837686356,0.000456920610794474,0.00779004845266265
"YBL004W",1.1211925341733,6.6155527748842,0.000458939210431329,0.00779897674534282
"YER182W",-0.970014882057904,6.5541290716202,0.000461792172361308,0.00782197975067838
"YLR327C",-1.43988418181892,9.2335155057684,0.000479032906467568,0.00808774975094272
"YFL055W",-2.43693725415319,5.51280469472594,0.00048509440570594,0.00815828527896452
"YNL151C",1.27567764924771,5.22380038877869,0.000486338263706721,0.00815828527896452
"YJR008W",-1.12822841408751,7.41351799871352,0.00049387757431377,0.00825820290126582
"YPL030W",1.74012273131005,4.84892950931881,0.000510693712244025,0.00851210574050184
"YER037W",-1.57122572967002,5.42341452464267,0.000528147428193484,0.00876899899130875
"YNL096C",1.53467778638943,8.8865348293056,0.000529468024202081,0.00876899899130875
"YJL069C",1.63381213805507,5.34607565993312,0.000534267152843509,0.00882048017843224
"YNL145W",1.17636279457535,6.33604464849613,0.000537867372904779,0.00885190562916161
"YNL248C",1.48488528515515,6.40085419826783,0.000555467512876224,0.00911281136690334
"YKR079C",1.54713188405925,5.11993664675231,0.000563488854262246,0.00921542743788758
"YLR276C",1.01211684801024,6.38914479013673,0.000579355127695208,0.00943514117657224
